time,rating,free_text,do_better,surgery,sentiment_free_text,sentiment_score_free_text,sentiment_do_better,sentiment_score_do_better,free_text_len,do_better_len,rating_score,feedback_labels,improvement_labels
13/07/2023 15:28,Extremely likely,very friendly caring staff treated me with respect and listened to my problem,,Earls Court Surgery,positive,0.8664062023162842,neutral,0,13,3,5,Staff Empathy and Compassion,
13/07/2023 15:29,Extremely likely,,,Earls Court Surgery,neutral,0,neutral,0,4,0,5,,
13/07/2023 15:29,Extremely likely,the doctor was very understanding and very knowledgeable,,Earls Court Surgery,positive,0.9683501124382019,neutral,0,8,5,5,Patient Respect,
13/07/2023 15:30,Extremely likely,,,Earls Court Surgery,neutral,0,neutral,0,5,5,5,,
13/07/2023 15:31,Extremely likely,i was spoken to politely on the phone and a telephone appointment arranged with my doctor which due to a mistake on a locked phone i wasn t able to answer but i was called back twice to complete my assessment of my health worry,no i was happy with everything,Earls Court Surgery,neutral,0.7658283710479736,positive,0.8307310938835144,44,6,5,Follow-up and Continuity of Care,Patient Respect
13/07/2023 15:32,Likely,,,Earls Court Surgery,neutral,0,neutral,0,0,0,4,,
13/07/2023 15:32,Extremely likely,very professional and very kind i feel comfortable when i attend my appointment there,,Earls Court Surgery,positive,0.9753274321556091,neutral,0,14,5,5,Staff Professionalism,
13/07/2023 15:33,Extremely likely,,,Earls Court Surgery,neutral,0,neutral,0,5,1,5,,
13/07/2023 15:33,Extremely likely,,,Earls Court Surgery,neutral,0,neutral,0,3,0,5,,
13/07/2023 15:33,Extremely likely,the nurse miss person was absolutely amazing understanding kind fun thorough careful she is the best,,Earls Court Surgery,positive,0.9741165041923523,neutral,0,16,0,5,Patient Respect,
13/07/2023 15:37,Likely,i have been with surgery for considerable years and was well looked after by dr person hoping the work ethic continues apart that good service good location etc,i think it is getting better the ladies at the reception can be so rude it would not do any harm to smile be friendly put the patient at ease,Earls Court Surgery,positive,0.940468967,neutral,0.4259161651134491,29,30,4,Follow-up and Continuity of Care,Reception Staff Interaction
13/07/2023 15:38,Likely,,the basement is a bit dark and gloomy and reception area could also do with an upgrade,Earls Court Surgery,neutral,0,negative,0.760086179,3,17,4,,Environment and Ambiance
13/07/2023 15:39,Extremely likely,,,Earls Court Surgery,neutral,0,neutral,0,2,0,5,,
13/07/2023 15:40,Extremely likely,because the staff are very helpful,,Earls Court Surgery,positive,0.9670316576957703,neutral,0,6,0,5,Staff Professionalism,
